,Unnamed: 0,Area,equivalent_diameter,MajorAxisLength,MinorAxisLength,Perimeter,Circularity
1,2,3151.3149000000003,63.34334020710571,82.0183973982274,50.99254202478711,236.4174489944247,0.7085045003144858
2,3,1483.5627000000002,43.461830342658935,67.19520069105974,30.01537985784745,194.8365084997099,0.49110583369798433
3,4,3469.4604000000004,66.46393142278507,103.50903795937442,49.85793175652957,348.0697627495649,0.35986466411946955
4,5,991.2744,35.526465708871484,48.23960116653752,29.095997846272752,139.03728670728324,0.6443787151607012
5,6,830.5272000000001,32.5186111944863,48.487401061453184,27.797564407786886,135.94021638285528,0.5647650469110548
6,7,525.7773000000001,25.87354730384072,33.901165398579,27.65399186507849,115.4312109732839,0.4958669832921738
7,8,1393.1424000000002,42.116552507621655,63.37613189685638,29.351363933090425,160.48822720199806,0.6797027305914484
8,9,401.86800000000005,22.620217270477983,29.10568912680212,26.412160881948928,102.6862380211408,0.478926427706841
10,11,565.9641,26.844140385202248,37.327522234034014,20.514497235343693,100.03320015414111,0.7107394519737569
11,12,3630.2076000000006,67.98620354099887,85.38874568709296,56.74723091766775,283.70578438785043,0.5667675076624077
12,13,2227.0185,53.24967625307017,78.71591074991157,39.6591489610479,216.53640030828228,0.5968591597148795
13,14,308.09880000000004,19.80614995009,29.154306570148865,14.530448023234849,75.42016228714147,0.6806517190080229
14,15,1610.8209000000002,45.28753547463016,58.70339766549247,50.017468749110186,262.0486058719948,0.29477687654392093
15,16,545.8707,26.36331089890389,36.40217231699385,20.132202655611117,102.37225965942632,0.65453830693248
16,17,3613.4631,67.82922756718752,92.7196693203422,53.11479234721436,257.4243570317112,0.6852266018785778
17,18,66.97800000000001,9.234665030593789,18.33665842929015,5.201502633618721,30.10303786699968,0.9287982518850457
18,19,97.1181,11.120009236936092,17.346552646247524,7.978803920663767,37.1090595052852,0.8862375475278697
19,20,244.46970000000005,17.642802768538278,28.887419827195487,12.200123004427033,69.1071244201418,0.6432640182714059
20,21,164.09610000000004,14.454537130493517,24.6641283551418,9.0271818395687,54.02309196271349,0.7065603288102505
22,23,4795.6248000000005,78.14076488666242,157.26391247754162,48.95878192599199,457.6969953611343,0.28767289149000824
23,24,2220.3207,53.16954125468884,62.07027473729367,47.14802815975349,190.91640030828228,0.7654892522469364
24,25,1486.9116,43.51085667560951,57.30179828570088,35.09366485884379,161.50634621256845,0.7163344361056083
26,27,1178.8128000000002,38.741593575896985,99.31658773856648,19.295232242700784,244.95064914856584,0.24688659924628023
