,Area,equivalent_diameter,MajorAxisLength,MinorAxisLength,Perimeter
200,509.03280000000007,25.458214598185496,41.97009154065104,22.24280429575323,123.95325424985495
201,6.697800000000001,2.9202574925384877,3.66,0.0,0.0
202,90.42030000000001,10.72971116138812,12.183119883698575,11.650208699372493,38.24607573399935
203,66.97800000000001,9.234665030593787,14.552225566604722,7.201259546680419,26.06403245742829
204,16.744500000000002,4.617332515296893,5.670047618847658,3.273603519059692,9.529005409571383
205,284.65650000000005,19.03774966916796,25.224648926169163,15.147948559749407,65.5121514679987
206,780.2937000000001,31.519847641568887,51.761750772224346,21.17657463267137,134.05634621256846
207,26.791200000000003,5.840514985076975,7.540340338068072,4.3966740368264166,12.87502704785691
208,33.489000000000004,6.529894265119143,11.34450645434935,3.7190532810415564,19.437016228714146
209,30.140100000000004,6.194801627354365,9.726979265434823,4.670313685969777,18.36502704785691
210,16.744500000000002,4.617332515296893,5.670047618847658,3.273603519059692,9.529005409571383
211,36.837900000000005,6.848610882872486,8.925040019280535,6.2467618978123305,18.36502704785691
212,13.395600000000002,4.129867751569576,6.339305955702091,2.5880108191427644,5.869005409571382
213,30.140100000000004,6.194801627354365,7.7783119169636326,4.779985745001918,13.947016228714148
214,1061.6013,36.76510241930868,51.6051201204955,27.599604184613938,142.06932998385432
215,2471.4882000000002,56.0963145900542,64.13922753395669,53.45106641825629,207.70037866999675
216,937.6920000000001,34.55295262610424,49.21958432329442,26.001212875581285,139.54634621256844
217,73.67580000000001,9.685398393974246,20.651114712379044,5.46511853854005,34.58607573399935
218,542.5218000000001,26.282317432846387,46.40410438668479,18.413011734778948,116.56822720199804
219,63.62910000000001,9.000838089639661,17.582575563608614,6.7083180256170545,31.554032457428292
220,23.442300000000003,5.463301509119289,6.744842978443068,5.165201394045077,12.117016228714146
221,174.14280000000002,14.890449939169283,22.67010762191961,12.20370618586573,61.47314605842731
222,70.32690000000001,9.462715790862331,14.700574028967484,6.626272750633308,26.06403245742829
223,10.046700000000001,3.576570387129374,4.226203970468061,2.44,6.248010819142764
224,20.093400000000003,5.058034348260352,7.008366428776395,3.450681092190353,11.359005409571383
225,174.14280000000002,14.890449939169283,22.64142318268919,10.072887509113777,51.81408655314211
226,36.837900000000005,6.848610882872486,8.04122761413231,6.382173567794246,15.084032457428293
227,2973.8232000000003,61.53364362111888,76.4816327805777,53.04391987936648,263.3807032442797
228,6.697800000000001,2.9202574925384877,3.66,0.0,0.0
229,6.697800000000001,2.9202574925384877,3.66,0.0,0.0
230,6.697800000000001,2.9202574925384877,3.66,0.0,0.0
231,13.395600000000002,4.129867751569576,3.66,3.66,7.32
232,10.046700000000001,3.576570387129374,4.226203970468061,2.44,6.248010819142764
233,16.744500000000002,4.617332515296893,5.670047618847658,3.273603519059692,9.529005409571383
234,3091.0347000000006,62.73458068871259,111.4639985869711,58.16847650457359,474.285892579278
235,6.697800000000001,2.9202574925384877,3.66,0.0,0.0
236,90.42030000000001,10.72971116138812,14.737481000982543,10.075118204373505,35.279059505285204
237,100.46700000000001,11.310108635238992,22.622016893195525,7.786106580568774,42.22005409571382
238,210.9807,16.38990452735787,21.53130316003212,13.344240780522838,53.01612982971317
239,26.791200000000003,5.840514985076975,6.339305955702091,5.01166140117227,13.568010819142764
240,66.97800000000001,9.234665030593787,19.892552385049825,4.3296909367815655,32.247016228714145
241,77.02470000000001,9.903074975044998,18.028475453690362,6.048082781333417,32.37707032442797
242,40.186800000000005,7.153140774258748,10.979999999999999,5.030188863253545,18.43005409571382
243,13.395600000000002,4.129867751569576,5.922004398824615,2.2620043988246152,8.078010819142763
244,257.86530000000005,18.1197212223311,40.5292187949542,8.420130253015575,77.0012109732839
245,294.70320000000004,19.370796787948493,42.365539971909236,10.321176035126305,89.74618392542698
246,70.32690000000001,9.462715790862331,10.038005714193833,9.213770110500851,28.338064914856584
247,23.442300000000003,5.463301509119289,7.337274700828228,4.5303034053115985,13.568010819142764
248,324.84330000000006,20.337240112716078,25.67637542090366,16.918051677083263,70.68817310628422
249,599.4531000000001,27.626932369231334,35.07434115220384,22.637400897939177,99.0262380211408
250,2910.1941,60.871785015514014,90.67622940112385,63.28787876067594,351.036778978279
251,1734.7302000000002,46.99709661336898,61.89877455117623,36.67181111512836,171.23043276571056
252,60.28020000000001,8.760772477615461,12.670591197774284,6.672672863503001,27.894032457428292
253,187.53840000000002,15.452550179059793,24.685466389375385,11.821128941228105,58.506129829713174
254,103.81590000000001,11.497065245195019,13.549869439670115,11.02789270732881,37.1090595052852
255,612.8487000000001,27.93390770693453,41.26767607598387,26.237067505490543,145.97828129771185
256,123.90930000000002,12.560502407167187,21.956432403798896,7.9110475397110855,47.39607573399935
257,1751.4747000000002,47.223371858044565,79.47454432469654,32.74460769243218,254.85865996770863
258,204.28290000000004,16.127649134116812,20.08704517698054,13.251121313230179,50.8721514679987
259,107.16480000000001,11.68102997015395,17.265285321417274,8.750320580987491,40.834086553142114
260,1208.9529000000002,39.233743639910976,49.131941446681616,32.42775905423301,143.52032457428294
261,20.093400000000003,5.058034348260352,9.867214335894369,2.6126770274032447,9.908010819142763
262,23.442300000000003,5.463301509119289,7.604335711392087,3.4870121735736843,13.189005409571383
